# ⭐ القائمةُ النهائيّة: كلُّ من بقي بلا فهرسٍ ويحتاجه (جردٌ من الكتالوج 2026-09-11).
# ⛔ 179 قارئاً بنمط surah · 158 منشوراً · 21 باقياً — منها عشرةٌ مغلقةٌ بقرارٍ أو تجميد،
#    وهؤلاء الأحدَ عشرَ هم **كلُّ العمل المتبقّي القابل للتنفيذ**.
hatem	hafs	https://server11.mp3quran.net/hatem/{surah:03d}.mp3	4
saad	hafs	https://server16.mp3quran.net/saad/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4
asim	hafs	https://server7.mp3quran.net/asim/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	2
f_hajry	hafs	https://server16.mp3quran.net/f_hajry/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4
bilal	hafs	https://server11.mp3quran.net/bilal/{surah:03d}.mp3	4
h_dukhain	hafs	https://server16.mp3quran.net/h_dukhain/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4
chahboun_warsh	warsh	https://archive.org/download/128--kb---altazy--mohammad--shahboon---by--rewayt--warsh--mp3--full--mushaf--q/ar_{surah:03d}_Tazi_Mohammed_Chahboun_Warsh.mp3	4
kholti_warsh	warsh	https://archive.org/download/Tilawa.org_002/{surah:03d}.mp3	4
harraz_warsh	warsh	https://server16.mp3quran.net/H-Lharraz/Rewayat-Warsh-A-n-Nafi/{surah:03d}.mp3	4
maroush_qalun	qalun	https://archive.org/download/Kamal-Almaroush-Qalon/{surah:03d}.mp3	4
noah_qalun	qalun	https://archive.org/download/Al-Quran_Qaloon_tilawat_Yousuf_Nooh_Ahmad/{surah:03d}.mp3	4
